공간정보일련번호,공간정보,마리나항만명,행정구역명,전체주소,마리나항만종류명,소개설명,대중교통이용정보,차량이용정보,날씨설명,조류정보,보급수리내용
10,MULTIPOINT ((1146717.37268271 1679026.43745351)),백운포 마리나,부산광역시 남구,부산광역시 남구 용호동 895-3번지 일원,레포츠형/무역항/계획,"조차의 영향이 적고 해양성 기후로 온화하며 도심권에 위치하여 접근성이 유리하고 넓은 배후부지 활용으로 육상 중심 보관 용도로 적합하며, 주변 관광지(오륙도, 씨사이드 관광지)와의 연계개발이 가능하며 관광 시너지 효과 발휘될 것으로 예상되며, 개발규모는 100척(해상: 50척, 육상: 50척) 정도로 예정되어 있다.","▶ 부산종합버스 터미널 → 지하철 1호선 노포역 → 3호선 연산역 → 20번(일반버스) → 백운포정류장▶ KTX 부산역 → 22번(초량), 27(부산역) → 백운포 정류장",경부고속도로 → 대구부산고속도로 → 중앙고속도로 - 모라고가교 → 백양터널 → 수정터널 → 제5부두사거리 → 우암고가로 → 신선로 → 백운포로,,,
11,MULTIPOINT ((1035792.66755753 1662436.44316043)),하동 마리나,경상남도 하동군,경상남도 하동군 금남면 대치리 1-1번지 일원,레포츠형/기타연안/계획,"해양성 기후로 온화하며, 외해로부터 남해 군도에 의해 차폐되어 파랑의 영향을 적게 받는 지역이다. 남해고속도로 하동 IC, 진교 IC와 가까운 거리에 있어 접근성이 좋으며, 한려해상 국립공원 내에 위치하고 있어 주변 관광여건이 양호하다.예정된 개발규모는 100척(해상 50척, 육상 50척)이다.","▶ 서울남부터미널, 동서울종합터미널 → 하동시외버스터미널▶ 부산서부시외버스터미널 → 하동시외버스터미널","남해고속도로 하동IC(10km) → 진교 IC(5km) → 국도 19호선, 지방도",,,
34,MULTIPOINT ((1127830.15848553 1975737.8811744)),강릉 마리나(강릉항 마리나),강원도 강릉시,강원도 강릉시 창해로14번길 51-20,국가어항/레포츠형,"동해 지역의 해양레저 및 요트활성화를 위해 2010년 완공된 요트마리나 시설로 국내에서는 첫번째로 해양민자사업으로 조성된 마리나 시설이다.깨끗한 환경과 먹을거리 및 볼거리가 있어서 관광객들이 많이 방문하며, 요트를  타볼 기회도 주어지기 때문에 휴가철 좋은 추억을 선사하기에 적합한 곳이다.특히 지상 6층규모의 클럽하우스는 항내와 안목해변의 전망을 감상할 수 있으며, 커피전문점 등의 편의시설을 갖추어 많은 관광객을 강릉항으로 이끄는 데 큰 역할을 하고 있다.","버스▶501, 300-1, 314-1",▶올림픽대로-광주원주고속도로-영동고속도로,"강릉지역은 동해바다에 접한 해안지역과 태백산맥에 접한 산간지역과의 중간에서 다양하고 복잡한 기후를 나타내어 행정구역상으로 강릉시에 속하더라도 산간이나 해안에 근접한 지역에서는 기후값에 있어 차이를 보일 수 있다.연평균기온은 13.1℃이며, 연평균 최고기온과 최저기온은 각각 17.5℃와 9.2℃이다. 같은 위도의 서해안보다 기후가 온난하고, 여름에는 태백산맥의 서쪽보다 시원하다.연평균 강수량은 1464.5mm이며, 월별로 살펴보면 강수량은 7~9월의 여름철에 집중되어있고, 12~2월의 겨울철에는 월평균 40~60mm 안팎으로 여름철과 비교하면 큰 차이를 나타낸다. 특히 8월에는 평균 298.9mm의 높은 강수량을 나타낸다.연평균 풍속은 강릉이 2.6㎧이며, 겨울철과 봄철에 강풍현상이 자주 있으며, 계절에 관계없이 북동 (NE)기류의 유입 시 날씨가 나빠지며 강수 현상을 나타내는 특징을 가진다.","강릉항에 인접한 묵호항에서의 평균해수면은 0.19m, 대조승은 0m, 평균고조간격은 2시간 57분이다.",급유 : 이동 주유 이용급수 : 자체조달수리 : 주문진 소재 선박수리점 이용
13,MULTIPOINT ((998245.296137285 1619969.80655745)),남열 마리나,전라남도 고흥군,전라남도 고흥군 영남면 남열리 212-3번지 일원,레포츠형/기타연안/계획,"전라남도의 항공우주테마파크 계획과 나로도 우주센터, 남열해수욕장을 연계한 관광 클러스트 조성이 가능하고, 고흥 우리해양리조트 특구와 연접하여 시너지효과가 탁월하다.여수~고흥간 연륙/연도교 개설과 서·남해안 일주 도로의 노선상에 위치하여 접근성 향상으로 집객 효과 탁월할 것으로 예상되며, 개발규모는 100척(해상: 50척, 육상: 50척) 정도로 예정되어 있다.※ 마리나 공사장 주변에서는 낚시를 할 수 없다.",고흥터미널 정류장에서 고흥~영남(송산·천학·금사·양사)승차 → 남열 정류장 하차,남해고속도로 → 고흥IC → 고흥로 → 우주항공로 → 과역로 → 쌍정자길 → 여도진로 → 팔영로 → 해맞이로 → 남열해수욕장,"해양성기후의 특성이 뚜렷해 난대성 식물이 많으며 연평균 기온 13.5℃, 1월 평균기온 1.2℃, 8월 평균기온 25.8℃, 연강수량 1,452.4mm이다.","소옥대도 남측으로 창조류, 낙조류가 각각 0.7kn로 나타나며, 마리나항 북동측의 낭도항 주변으로 창조류, 낙조류가 각각 0.9kn로 나타난다.",급유 : 일반 유류 취급소 이용급수 : 자체조달수리 : 각 항구 선박수리점 이용
14,MULTIPOINT ((1049299.6503573 1663202.03127148)),삼천포 마리나,경상남도 사천시,경상남도 사천시 해안관광로 339(송포동 1370-3),레포츠형/기타연안/기개발,"삼천포 마리나는 경남 사천시에 위치하여 한려해상국립공원의 중심지로서 푸르고 넓은 바다를 한껏 느낄 수 있는 아름다운 해양조건을 지니고 있다. 바다 속을 탐험할 수 있는 스쿠버다이빙, 수상스키, 제트스키, 카누 등 해양에서 즐길 수 있는 다양한 해양 스포츠를 즐기기에 적합한 조건이고 삼천포 유채꽃과 삼천포 대교, 사랑도 등 유명한 관광지를 한꺼번에 경험할 수 있다.",▶ 삼천포 시외버스터미널에서 70번(부두 - 남양 - 광포) 승차 → 광포하차▶ 삼천포 시외버스터미널에서 20번(실안 - 광포) 승차 → 광포하차,사천IC → 사천IC 사거리 → 사천공항방면 → 송포사거리(실안·대방방면) → 삼천포마리나,"대륙성 기후와 해양성 기후의 혼합된 영향을 받아 여름은 서늘하고 겨울은 온화하여 평균기온 13.4℃로 겨울에도 춥지 않고, 여름에도 비교적 시원한 편이다. 강수량은 1,400mm로 남부 지방의 연평균강수향과 거의 비슷한 편이며, 5월7월에 강수가 집중된다.","삼천포 마리나항 남측의 대방수도에서 창조류, 낙조류가 각각 4.0kn, 4.2kn로 강하게 나타나며, 남서측 진주만 부근에서는 창조류, 낙조류가 각각 1.1kn, 0.8kn로 나타난다.","급유 : 일반 유류취급소 이용급수 : 자체조달수리 : 삼천포항 선박 수리점, 조선소 이용"
15,MULTIPOINT ((929190.861109741 1507765.85290437)),김녕항 마리나(제주),제주특별자치도 제주시,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,"국가어항, 피셔리마리나/거점항",제주특별자치도 제주시 김녕리에 위치하여 깨끗한 바다와 부드러운 모래의 풍경과 어우러진 김녕해수욕장에 인접한 마리나이다.,버스▶ 1132번 지방도를 따라 김녕리 도착공항▶ 제주 국제 공항홈페이지 : www.airport.co.kr/mbs/jeju위치 : 제주특별자치도 제주시 용담2동 2002전화번호 : 1661-2626,▶ 1132지방도(해안도로)이용,"연최대풍속은 39.5m/s, 풍향은 북서풍이며 연평균풍속은 3.6m/s로, 풍향별 관측은 북북서풍(7시 방향)이 가장 우세하며, 북동풍과 북서풍의 풍향이 우세하게 나타나고 있다.연평균강수량은 1,477.1mm이며, 60.5%가 6~9월 사이에 집중된다.연평균기온은 15.8℃로 육지에 비해 온화한 편이며, 연중 최고기온은 37.4℃, 최저기온은 -6℃로 최대 43.4℃의 기온차이를 보인다.안개일수는 15.5일로 4월~7월 사이에 집중적으로 발생하는 것으로 나타난다.","제주도 연안의 평균 조차는 대조 시에 2.7m에 이르나 소조 시에는 1.3m에 불과하다. 일년 중 최대만조일은 음력 7월의 대조 시에 발생하는데 평균해수면이 제주항에서는 1.54m, 서귀포항에서는 1.8m로 높아진다. 풍향이 조류에 영향을 미치기도 하여 제주도연안에서 겨울의 북서풍은 조고와 해수면을 낮추는데 비하여 여름의 남동풍은 조고와 해수면을 높인다. 따라서 해수면이 가장 높은 기간은 6월에서 10월까지이다.",급유 : 수협 탱크로리 및 일반 유류 취급소 이용급수 : 자체조달수리 : 각 항구 선박수리점 이용
16,MULTIPOINT ((929242.214345394 1507604.25564865)),김녕항 마리나(김녕 요트투어),제주특별자치도 제주시,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,"국가어항, 피셔리마리나/거점항",한라산 동쪽 수려한 자연경관 속 화려한 요트에서 즐길 수 있다.비지림과 만장굴 등의 마을 김녕에 럭셔리 슈퍼요트 투어를 시작으로 한국 요트의 지평을 열어간다.,버스▶ 1132번 지방도를 따라 김녕리 도착공항▶ 제주 국제 공항홈페이지 : www.airport.co.kr/mbs/jeju위치 : 제주특별자치도 제주시 용담2동 2002전화번호 : 1661-2626,▶ 1132지방도(해안도로)이용,"연최대풍속은 39.5m/s, 풍향은 북서풍이며 연평균풍속은 3.6m/s로, 풍향별 관측은 북북서풍(7시 방향)이 가장 우세하며, 북동풍과 북서풍의 풍향이 우세하게 나타나고 있다.연평균강수량은 1,477.1mm이며, 60.5%가 6~9월 사이에 집중된다.연평균기온은 15.8℃로 육지에 비해 온화한 편이며, 연중 최고기온은 37.4℃, 최저기온은 -6℃로 최대 43.4℃의 기온차이를 보인다.안개일수는 15.5일로 4월~7월 사이에 집중적으로 발생하는 것으로 나타난다.","제주도 연안의 평균 조차는 대조 시에 2.7m에 이르나 소조 시에는 1.3m에 불과하다. 일년 중 최대만조일은 음력 7월의 대조 시에 발생하는데 평균해수면이 제주항에서는 1.54m, 서귀포항에서는 1.8m로 높아진다. 풍향이 조류에 영향을 미치기도 하여 제주도연안에서 겨울의 북서풍은 조고와 해수면을 낮추는데 비하여 여름의 남동풍은 조고와 해수면을 높인다. 따라서 해수면이 가장 높은 기간은 6월에서 10월까지이다.",급유 : 수협 탱크로리 및 일반 유류 취급소 이용급수 : 자체조달수리 : 각 항구 선박수리점 이용
17,MULTIPOINT ((1168698.42313976 1784284.33674382)),포항 구항 마리나,경상북도 포항시,경상북도 포항시 남구 운하로 205(송도동),무역항,"폰툰(pontoon) 방식으로 제작되는 ‘국내 최초의 부력(浮力)식 해양공원’으로 지역주민과 방문객들에게 휴식과 볼거리를 제공하는 관광명소가 될 것으로 기대며, 문화와 휴식을 위한 친수공간으로 국민여가 휴양시설 지구로의 변모가 기대된다.","버스▶ 시외버스 터미널 - 육거리 105. 200번 버스(07:00~22:00, 10분 간격)▶ 고속버스 터미널 - 육거리 101. 102번 버스(07:00~22:00, 10분 간격)",▶ 대구-포항 고속도로 포항IC 7㎞▶ 국도 7호선(경주-영덕) 2m▶ 경부고속도로 경주IC 35m,"한반도 남동쪽 동해안에 위치한 포항지방은 북서쪽으로는 1,000m 이상의 준령들이 줄지어 태백산맥과 접해있고, 동쪽으로는 동해와 접해있음. 연평균 기온은 14.2도, 연평균 강수량은 1,152.0㎜이고, 여름의 평년 평균기온 24.0℃, 강수량 572.2㎜, 평균풍속 2.6m/s이며, 남서풍이 주풍으로 나타나고, 태풍이 대한해협을 통과하여 동해상으로 진출할 때 호우현상이 자주 발생함.","포항에서의 평균해수면은 0.12m, 대조승은 0.2m, 평균고조간격은 4시간 9분이다.",급유 : 일반 유류 취급소 이용급수 : 급수이용수리 : 각 항구 선박수리점 이용
18,MULTIPOINT ((1170806.20163631 1878471.04247307)),오산항 마리나,경상북도 울진군,경상북도 울진군 매화면 오산항길 59,국가어항,"국내·외 해양산업 전문교육기관과 공조를 통해 전문산업교육 프로그램을 개발하고 다양한 고객층에게 해양레포츠의 즐거움, 해양산업의 연구, 교육의 전문성을 모두 갖춘 최고의 해양레포츠센터로서 시설 운영에 최선을 다하여 울진군이 국제적인 명품 해양도시로 발전하는데 기여토록 하려한다.",버스▶ 917지방도(해안도로)를 따라 오산리 도착,▶ 영동고속도로 : 문막IC(118.3km) - 동해고속도로(45.0km) - 동해대로(85.1km) - 유엠아이 울진해양레포츠센터▶ 중부내륙고속도로 : 상주IC(12.44Km) - 경서로(28.5km) - 예영로(23.3km) - 파인토피아로(27.4km) - 불영계곡로(36.3km) - 유엠아이 울진해양레포츠센터▶ 중앙고속도로 : 제천IC(52.3km) - 파인토피아로(27.4km) - 불영계곡로(36.3km)- 유엠아이 울진해양레포츠센터▶ 경부고속도로 : 영동IC(104.6km) - 익산포항고속도로(69.3km) - 동해대로(100.4km) - 유엠아이 울진해양레포츠센터▶ 남해고속도로 : 하동IC(80.1km) - 중부내륙고속도로(49.2km) - 익산포항고속도로(61.2km) - 동해대로(81.3km) - 유엠아이 울진해양레포츠센터,"울진지방은 동쪽으로 바다와 접하고 서쪽으로 태백산맥이 동해와 급사면을 이루고 있는 남부동안형 지형특성을 가지며, 동한해류(난류)의 영향으로 대체로 온화하고 한서의 차이가 적으며, 내륙지방에 비해 강수량이 적은 편이나, 북동기류의 영향으로 지형성 강수가 빈번하게 유발됨.연평균기온은 12.6℃, 연평균강수량은 1,119.0㎜, 평균풍속 3.8m/s임. 여름(6~8월)에는 평년 평균기온 21.9℃, 강수량 501.4㎜, 평균풍속 4.0m/s이며, 오호츠크해 고기압의 영향으로 한랭다습한 동풍계열의 바람이 유입되어 선선함","오산항에 인접한 후포에서의 평균해수면은 0.14m, 대조승은 0.2m, 평균고조간격은 3시간 11분이다.",급유 : 이동 주유 이용급수 : 자체조달수리 : 죽변항 조선소 이용
19,MULTIPOINT ((1095434.25997425 2021890.00253262)),속초 마리나,강원도 속초시,강원도 속초시 조양동 1544-2,무역항,청정해역과 청초 호수가 어우러진 편안한 휴식공간 클럽하우스와 효과적인 비즈니스를 위한 회의 공간을 갖추고 있다.,"버스▶ 시내버스 : 66-1번 버스(6:35 ~ 19:35, 40분 간격)▶ 시내버스 : 7-1번 버스(5:35 ~ 21:25, 30분 간격)▶ 시내버스 : 9번 버스(5:30 ~ 21:10, 17분 간격)▶ 시내버스 : 9-1번 버스(5:38 ~ 21:50, 18분 간격)공항▶ 양양 국제공항 : 21.87㎞(41분 소요)",▶ 미시령고속도로 : TG 9.22㎞(19분 소요)▶ 동해고속도로 하조대IC : 31.18㎞(44분 소요),"높은 산맥정상을 중심으로 한 산악지방은 산악기후의 특성을 가지고 있고, 설악산의 급경사면이 바다와 접해 길고 좁은 단조로운 형태로 이루어져 해양성 기후에 가까운 기상특성을 많이 보이고 있다. 봄철에 남부지방에 있는 이동성 고기압으로부터 불어오는 SW풍이 태백산맥을 넘을 때 산악효과에 의하여 부는 강풍현상인 양간지풍, SW류 유입시 고산에 의한 푄현상, NE류에 의한 강수 및 저온현상 등이 대표적인 예라 할 수 있다. 속초지방의 연평균 기온은 12.2℃로 비교적 온화한 기후를 보이며, 이는 사계절에 걸쳐 동해상으로 유입되는 해풍의 영향을 받고 있기 때문이다. 연평균 강수량은 1402.2㎜로 도내에서는 비교적 비가 많은 지역이다. 한편, 겨울철에 발생하는 폭풍현상은 강한 북서 계절풍의 영향이나 4월과 5월에 걸쳐 나타나는 폭풍현상은 태백산맥의 지형적인 원인과 기상학적 원인이 복합적으로 작용하는 영동지방만의 특유한 현상이다.","속초의 평균해수면은 0.19m이고, 대조승은 0.3m, 평균고조간격은 3시간이다.",급유 : 일반 유류 취급소 이용급수 : 급수전이용수리 : 각 항구 선박수리점 이용
20,MULTIPOINT ((1085426.67798162 1648516.33333959)),통영항 마리나(통영),경상남도 통영시,경상남도 통영시 큰발개1길 33,무역항/레포츠형,남해안 해양문화의 중심지로 정규 요트 계류 및 부대시설의 인프라를 갖추고 요트 대중화와 해양관광활성화를 목표로 하고 있다.,"버스▶ 통영시외버스터미널 → 도남동(도남관광단지) 버스 101번, 121번, 141번(40분 소요)","▶ (서울) 서울IC - 경부고속도로 - 대전 비룡분기점 - 진주무주방면 - 대전-통영간 고속도로 - 북통영IC - 통영마리나▶ (부산) 서부산, 북부산-남해고속도로 - 서마산IC - 마산 - 고성 - 북통영IC ▶ 통영마리나","통영지방은 남해안에 위치하여 바다와 접해 있으며, 온대해양성 기후지역으로 기온의 연교차 23.0℃로 한서의 차가 심하지 않음.연평균기온은 14.7℃, 연평균강수량은 1,450.8㎜. 봄(3∼5월) : 평년 평균기온 13.2℃, 강수량 391.5㎜, 평균풍속 2.7m/s이며, 안개로 인한 시정장애 현상이 많음.여름(6∼8월) : 평년 평균기온 23.8℃, 강수량 736.9㎜, 평균풍속 2.5m/s이며, 국지적인 집중호우가 자주 발생함.","가조도 북부로 안정항로와 가조도 동부에서 칠천도 북서부를 지나가는 통영항로 부근의 조류는 0.5kn~0.9kn정도로 빠르지 않은 편이며, 칠천도 동부의 칠천수도 부근에는 1.4kn~1.8kn정도의 창조류와 낙조류가 발생된다. 용초도는 섬을 따라가며 거의 완벽한 왕복성 조류의 특성을 나타낸다. 한산도와 용초도 사이의 장강 수도에서 최대 2.9kn의 창조류와 1.5kn의 낙조류가 형성된다.한산도는 육지쪽에 가깝게 있어 조류가 약한 편이다.",급유 : 일반 유류 취급소 이용급수 : 자체조달수리 : 각 항구 수리점 이용
21,MULTIPOINT ((1109979.38273536 1649413.07494014)),지세포 마리나,경상남도 거제시,경상남도 거제시 일운면 지세포해안로 41(어항부지),국가어항/레포츠형,,"버스▶ 서울, 대전, 부산, 진주 시외버스 터미널 이용▶ 거제도 고현(신현) 및 옥포에서 정차하며 종점은 장승포시외버스 터미널공항▶ 김해공항에서 마산행 리무진 버그를 타고 종점에 내린 후 남마산 시외버스터미널로 이동하여 거제도행(고현, 장승포) 직행버스 이용","▶ 서울/수도권 : 대전, 통영 간 고속도로 ▶ 통영 ▶ 거제대교 ▶ 신현 ▶ 옥포 ▶ 장승포 ▶ 소동▶ 대구 : 구마고속도로 ▶ 서마산 IC ▶고성 ▶ 통영 ▶ 거제도(14번국도) - 지세포▶ 부산/울산 : 부산 ▶ 거가대교 ▶ 지세포","거제지방의 평균기온은 14.2℃이며, 최고기온은 18.9℃, 최저기온은 9.9℃이다. 평균습도는 63.7%이며 평년 강수량은 2007.3mm로 경남지방에서는 많은 편이다. 평균풍속은 1.7m/s이다.","지세포의 평균해수면은 0.96m이고, 대조승은 1.8m이며, 평균고조간격은 8시간 17분이다.","급유 : 수협선박급유소, 탱크로리급수 : 급수전 및 자체조달수리 : 소형선박수리"
22,MULTIPOINT ((947983.274754114 1948529.78628259)),서울 마리나,서울 영등포구,서울 영등포구 여의서로 160,레포츠형,"한국형 부띠크 마리나로서 도심의 문화, 교류, 관랑, 레저 , 비즈니스의 랜드마크로 자리하고 있다.",버스▶ 260번 여의도 요트나루역 하차 ▶ 구름다리 건너 왼편 100m 지하철▶ 9호선 국회의사당역 하차 - 1번 출구에서 260번 환승(1정거장 후 하차) ▶ 2호선 당산역 하차 - 4번 출구 육교 건너 오른편 국회 방향으로 도보(약15분),▶ 서울시 영등포구 여의도동 81번지 주소 입력 후 국회 둔치 주차장 입구를 지나 서울마리나 입구 진입 ,"한강은 서울의 중앙을 동에서 서로 관통하여 서해로 흐르고 한강의 지류인 중랑천, 청계천, 홍제천, 불광천, 탄천, 안양천, 양재천 등이 서울 전역에 분포한다. 서울의 연평균기온은 12.5℃이다. 최한월 평균기온은 -2.4℃로 1월에 나타나고 최난월 평균기온은 25.7℃로 8월에 나타나며, 연교차는 28.1℃로 매우 크다.여름철(6월, 7월, 8월) 강수량 합은 892.1mm로 연강수량의 약 61%를 차지하여 전체 강수량 중 여름철 강수량의 비율이 매우 높다.연평균 풍속은 2.3m/s이며, 월별 평균풍속은 9월에 1.9m/s로 가장 낮고 3월과 4월에 2.8m/s로 가장 높다.서울의 연평균 상대습도는 64%이며, 월별 상대습도를 보면 4월에 56%로 가장 습도가 낮고 7월에 78%로 가장 높게 분포한다. 여름철의 평균 상대습도는 74%로 매우 습하며, 봄과 겨울철의 상대습도는 약 60%로 상대적으로 건조하다.",,급유 : 일반 유류 취급점 이용급수 : 자체 조달수리 : 마리나 시설 이용
23,MULTIPOINT ((937373.487609934 1955873.86307773)),김포 마리나,경기도 김포시,경기도 김포시 고촌읍 아라육로 270번길 73,레포츠형,"2015년에 경인아라뱃길 아라마리나는 국내 최초로, 싱가포르와 중국에 이어 아시아에서는 세 번째로 국제 골드앵카 마리나 4.0인증을 획득하여 세계 수준의 공공마리나 기반을 갖추고 있다. 경인아라뱃길의 수향7경 내에 위치한 수도권 최대 규모의 아라마리나는 건강한 수상레저 문화를 만들기 위한 수상·육상 시설부터 마리나 클럽하우스의 다양한 친수편의시설까지 누구나 쉽고 편리하게 이용할 수 있다.","버스▶ 일반버스 : 김포2, 김포8, 김포9-1, 김포60, 김포60-3, 김포69, 631, 88, 95, 96, 1002, 860, 388▶ 직행버스 : 3000, 3100, 9004, 9008, 9501▶ 급행버스 : 8600▶ 간선버스 : 60-2, 672▶ 지선버스 : 6641▶ 마을버스 : 16번(개화역에서 탑승, 김포현대프리미엄 아울렛에서 하차 도보로 5분)※ 김포공항역에서 개화역까지 1정거장 지하철▶ 지하철 5호선, 9호선 김포공항역 ①번 출구 하차, 아라마리나 컨벤션 셔틀버스 탑승※ 김포공항~아라마리나(10분 소요)공항▶ 김포공항(국내선, 국제선)홈페이지 : www.airport.co.kr/mbs/gimpo ","▶ 김포에서 : 서울방향 김포한강로 - 김포터미널 방향 진입 - 화살표 방향 진입▶ 인천, 부천에서 : 벌말로(국도39호선) - 수송도로 삼거리 좌회전 - 백운교 오른쪽 램프도로 진입우회전 - 아라 파크웨이 - 화살표 방향 진입▶ 서울에서 : 올림픽대로 - 김포한강로 - 김포터미널 방향 진입 - 화살표 방향 진입▶ 고양, 서울 등에서 : 외곽순환도로 이용 시 외곽순환도로 김포IC(김포방면) 진출 - 화살표 방향 진입","기온은 연평균 12.7℃이고, 연평균 강수량은 1331.7mm이다.평균 풍속은 연평균 2.6m/s이며, 연평균 상대습도는 67%이다. (통계청 : 2002~2007)",,급유 : 이동 주유 이용급수 : 계류장내 수도 이용수리 : 마리나 시설 이용
24,MULTIPOINT ((906097.525282688 1736410.68275548)),격포항 마리나,전라북도 부안군,전라북도 부안군 변산면 격포리,국가어항 / 레포츠형,"변산반도에 소재하고 있는 전북요트마리나는 요트교육과 해양체험을 즐길 수 있는 아름다운 곳이다. 요트강습(딩기, 크루징), 해양체험(플라이피쉬, 바나나보트, 바다레프팅 등) 이용할 수 있으며 간교시에는 갯벌체험으로 해삼, 바지락, 전복 등을 채취할 수 있다. 청정해역에서 요트를 즐길 수 있는 지리적 여건과 요트 계류 시설을 가주고 있는 서해안 해양스포츠의 중심지이다.",버스▶ 시외버스 전주공용버스 터미널 - 격포공용버스터미널(1일 16회운행) - 도보 - 격포항▶ 시외버스 부안공용버스터미널 - 격포공용버스터미널 (10분간격운행) - 도보 - 격포항▶ 시내버스 부안 - 격포여객선터미널(1일8회 운행)▶ 시내버스 부안 - 변산.격포버스(30분간격) - 격포(하차) - 도보 - 격포항,▶ 서해안고속도로 - 부안IC 또는 줄포IC - 변산교차로 - 종암교차로 - 격포항삼거리,"일반적인 기상특성을 보면 부안내륙쪽으로 대륙성기후특성이, 내변산지역은 산악기후특성이 나타나고 있으며, 외변산은 서해바다에 접해있어 해양성 기후특성을 보이고 있다. 강수량은 6∼9월에 연강수량(1250.4mm)의 66%(약 823mm)이상이 집중적으로 내리고 있으나, 겨울철 강수량은 110.4mm로 여름철에 비해 큰 차이를 보이고 있다. 연평균 풍속은 1.6m/s로 다른 해안지역보다는 낮지만, 부안서남단에 위치한 격포항부근은 앞바다해상 보다도 풍속이 높게 나타날 정도로 강한 바람이 부는 경우가 간혹 있다. 겨울철 강설현상은 북서쪽의 차가운 대륙성고기압 확장시 소낙성 눈이 내리는 경우가 자주 있고, 때에 따라서는 폭설로 이어지는 경우도 연 1∼2회 있으며, 전북서남단에 위치한 지역특성상 서해안 적설관측의 첨병 역할을 톡톡히 하고 있다.",변산반도 서측해역은 외해로부터 유입된 창조류는 북동류하고 일부는 줄포만 입구로 2.5Kn이상 강하게 유입되며 낙조류는 이와 반대로 흐른다. 연간 최강 창조류는 0.8~2.8Kn이고 연간 최강낙조류는 0.8~2.7Kn이다.,급유 : 수협 면세유급수 : 자체조달수리 : 간단한 선박수리
25,MULTIPOINT ((903912.942036289 1502342.49064683)),도두항 마리나(제주도),제주특별자치도 제주시,제주특별자치도 제주시 도두항서길 26,"국가어항, 피셔리마리나/거점항",공공 마리나시설의 지속적인 신설로 관광수요 창출과 요트관광 수요 증가에 부응하기 위해 제주도가 동북아의 요트 중간 기항지로 자리매김하려한다.,"버스▶ 17번(제주고등학교~이호해수욕장), 7번(제주대~도평) 시내버스 운행공항▶ 제주 국제공항홈페이지 : www.airport.co.kr/mbs/jeju위치 : 제주특별자치도 제주시 용담2동 2002전화번호 : 1661-2626",▶ 1132번 지방도로를 따라 이동하여 도두동 도착,"연최대풍속은 39.5m/s, 풍향은 북서풍이며, 연평균풍속은 3.6m/s이다. 풍향별 관측은 북북동풍(1시 방향)이 가장 우세하며, 북동풍계열과 북서풍계열의 풍향이 우세하게 나타나고 있다.연평균 강수량은 1,477mm이며, 60.5%가 6월~9월 사이에 집중되고 있다.연평균기온은 15.8℃로 육지에 비해 온화한 편이며 연중 최고기온은 37.4℃, 최저기온은 -6.0℃로 최대 43.4℃의 기온차이를 보인다.안개일수는 15.5일로 4월~7월 사이에 집중적으로 발생하는 것으로 나타난다.","제주도 연안의 평균 조차는 대조 시에 2.7m에 이르나 소조 시에는 1.3m에 불과하다. 일년 중 최대만조일은 음력 7월의 대조 시에 발생하는데 평균해수면이 제주항에서는 1.54m, 서귀포항에서는 1.8m로 높아진다. 풍향이 조류에 영향을 미치기도 하여 제주도연안에서 겨울의 북서풍은 조고와 해수면을 낮추는데 비하여 여름의 남동풍은 조고와 해수면을 높인다. 따라서 해수면이 가장 높은 기간은 6월에서 10월까지이다.",급유 : 이동 주유 이용급수 : 자체조달수리 : 제주항 소재 선박조선소 이용
26,MULTIPOINT ((903881.261643487 1502118.4815114)),도두항 마리나(한라대학),제주특별자치도 제주시,제주특별자치도 제주시 도두항서길 26,"국가어항, 피셔리마리나/거점항","제주한라대학을 제주요트조종면허시험장 대행기관으로 선정되었으며, 제주한라대학 학생 및 지역주민 등을 대상으로 요트문화 및 해양레저 저변확대를 위해 노력하고 있다.","버스▶ 17번(제주고등학교~이호해수욕장), 7번(제주대~도평) 시내버스 운행공항▶ 제주 국제공항홈페이지 : www.airport.co.kr/mbs/jeju위치 : 제주특별자치도 제주시 용담2동 2002전화번호 : 1661-2626",▶ 1132번 지방도로를 따라 이동하여 도두동 도착,"연최대풍속은 39.5m/s, 풍향은 북서풍이며, 연평균풍속은 3.6m/s이다. 풍향별 관측은 북북동풍(1시 방향)이 가장 우세하며, 북동풍계열과 북서풍계열의 풍향이 우세하게 나타나고 있다.연평균 강수량은 1,477mm이며, 60.5%가 6월~9월 사이에 집중되고 있다.연평균기온은 15.8℃로 육지에 비해 온화한 편이며 연중 최고기온은 37.4℃, 최저기온은 -6.0℃로 최대 43.4℃의 기온차이를 보인다.안개일수는 15.5일로 4월~7월 사이에 집중적으로 발생하는 것으로 나타난다.","제주도 연안의 평균 조차는 대조 시에 2.7m에 이르나 소조 시에는 1.3m에 불과하다. 일년 중 최대만조일은 음력 7월의 대조 시에 발생하는데 평균해수면이 제주항에서는 1.54m, 서귀포항에서는 1.8m로 높아진다. 풍향이 조류에 영향을 미치기도 하여 제주도연안에서 겨울의 북서풍은 조고와 해수면을 낮추는데 비하여 여름의 남동풍은 조고와 해수면을 높인다. 따라서 해수면이 가장 높은 기간은 6월에서 10월까지이다.",급유 : 이동 주유 이용급수 : 자체조달수리 : 제주항 소재 선박조선소 이용
